Dia,Estació,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3)
26/03/2025,Embassament de Darnius Boadella (Darnius),150.93,60.7,37.10
26/03/2025,Embassament de Sant Ponç (Clariana de Cardener),525.07,73.6,17.93
26/03/2025,Embassament de Riudecanyes,211.28,47.7,2.54
26/03/2025,Embassament de la Baells (Cercs),628.61,95.4,104.44
26/03/2025,Embassament de Foix (Castellet i la Gornal),100.53,100.8,3.77
26/03/2025,Embassament de Sau (Vilanova de Sau),412.28,61.4,101.50
26/03/2025,Embassament de Susqueda (Osor),321.65,43.5,101.33
25/03/2025,Embassament de la Baells (Cercs),628.94,96.5,105.59
25/03/2025,Embassament de Sau (Vilanova de Sau),411.30,58.8,97.20
25/03/2025,Embassament de la Llosa del Cavall (Navès),788.95,50.3,40.27
25/03/2025,Embassament de Foix (Castellet i la Gornal),100.54,100.8,3.77
25/03/2025,Embassament de Darnius Boadella (Darnius),150.66,59.6,36.39
25/03/2025,Embassament de Sant Ponç (Clariana de Cardener),524.85,72.5,17.68
25/03/2025,Embassament de Siurana (Cornudella de Montsant),466.39,21.1,2.58
25/03/2025,Embassament de Riudecanyes,211.03,46.4,2.47
25/03/2025,Embassament de Susqueda (Osor),321.62,43.4,101.22
24/03/2025,Embassament de Sant Ponç (Clariana de Cardener),524.53,71.0,17.31
24/03/2025,Embassament de Susqueda (Osor),321.54,43.3,100.98
24/03/2025,Embassament de Foix (Castellet i la Gornal),100.54,100.9,3.77
24/03/2025,Embassament de Siurana (Cornudella de Montsant),466.04,20.3,2.48
24/03/2025,Embassament de Riudecanyes,210.72,44.7,2.38
24/03/2025,Embassament de la Llosa del Cavall (Navès),788.46,49.3,39.45
24/03/2025,Embassament de Sau (Vilanova de Sau),409.99,55.4,91.62
24/03/2025,Embassament de la Baells (Cercs),628.54,95.2,104.19
24/03/2025,Embassament de Darnius Boadella (Darnius),150.29,58.0,35.44
23/03/2025,Embassament de Sau (Vilanova de Sau),408.55,51.9,85.76
23/03/2025,Embassament de Susqueda (Osor),321.43,43.2,100.64
23/03/2025,Embassament de la Llosa del Cavall (Navès),787.89,48.1,38.49
23/03/2025,Embassament de Sant Ponç (Clariana de Cardener),524.18,69.4,16.91
23/03/2025,Embassament de Foix (Castellet i la Gornal),100.55,101.1,3.78
23/03/2025,Embassament de Darnius Boadella (Darnius),149.82,56.1,34.26
23/03/2025,Embassament de la Baells (Cercs),627.67,92.4,101.13
23/03/2025,Embassament de Siurana (Cornudella de Montsant),465.56,19.3,2.35
23/03/2025,Embassament de Riudecanyes,210.33,42.8,2.28
22/03/2025,Embassament de Susqueda (Osor),321.26,43.0,100.10
