percentatge_volum_embassat,dia,volum_embassat,estaci,nivell_absolut,id
13.4,2001-10-16T00:00:00.000,1.63,Embassament de Siurana (Cornudella de Montsant),462.03,20011016L43049-72-00003
42.9,2001-08-15T00:00:00.000,26.18,Embassament de Darnius Boadella (Darnius),144.9,20010815L17060-72-00002
16.5,2001-12-11T00:00:00.000,2.02,Embassament de Siurana (Cornudella de Montsant),463.98,20011211L43049-72-00003
27.7,2001-11-26T00:00:00.000,1.47,Embassament de Riudecanyes,206.56,20011126L43127-72-00002
30.9,2001-11-09T00:00:00.000,51.02,Embassament de Sau (Vilanova de Sau),397.09,20011109L08303-72-00001
17,2001-12-30T00:00:00.000,2.08,Embassament de Siurana (Cornudella de Montsant),464.31,20011230L43049-72-00003
35.9,2001-08-31T00:00:00.000,1.91,Embassament de Riudecanyes,208.79,20010831L43127-72-00002
31.8,2001-10-12T00:00:00.000,19.42,Embassament de Darnius Boadella (Darnius),141.05,20011012L17060-72-00002
28,2001-12-28T00:00:00.000,46.27,Embassament de Sau (Vilanova de Sau),395.39,20011228L08303-72-00001
57.9,2001-09-18T00:00:00.000,46.34,Embassament de la Llosa del Cavall (Navès),790.38,20010918L25146-72-00002
40.8,2001-09-12T00:00:00.000,67.47,Embassament de Sau (Vilanova de Sau),402.37,20010912L08303-72-00001
46.1,2001-08-23T00:00:00.000,2.45,Embassament de Riudecanyes,210.98,20010823L43127-72-00002
40.3,2001-08-20T00:00:00.000,24.65,Embassament de Darnius Boadella (Darnius),144.09,20010820L17060-72-00002
19.9,2002-02-01T00:00:00.000,2.43,Embassament de Siurana (Cornudella de Montsant),465.73,20020201L43049-72-00003
31.7,2001-12-05T00:00:00.000,19.35,Embassament de Darnius Boadella (Darnius),141.01,20011205L17060-72-00002
20,2002-02-05T00:00:00.000,2.45,Embassament de Siurana (Cornudella de Montsant),465.8,20020205L43049-72-00003
